 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
2015,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
31,1.7643E+12,-1203.799194,-106.991394,-170.30426,46.829224,-4.699402,37.617874,60.250851,1217.175293,-3923.80835,4069.898926,5782.894043,-0.080194,-0.012134,0.139909,0.986837,-9.303957,-0.086437,16.145735,21.602144,-11.091533,3.387115,5636.189941,-1557.032227,-101.370567,93.047661, 
32,1.7643E+12,-1202.933716,-107.109863,-170.278091,65.742188,-18.580284,31.291809,75.142792,2187.158203,1425.249512,-5208.59082,5826.183594,-0.079794,-0.009096,0.139848,0.986911,-9.209548,0.250015,16.11043,30.70554,5.269476,-0.176782,-3997.578613,4502.013672,-540.130737,93.047661, 
33,1.7643E+12,-1202.282349,-107.128799,-169.426743,68.258057,-6.183243,39.488297,79.099434,-1734.301758,806.217957,6683.958496,6952.200195,-0.077504,-0.008741,0.139736,0.987112,-8.943119,0.252317,16.094831,16.23768,15.243936,-2.290654,1393.364136,-2706.611328,159.633789,93.047661, 
34,1.7643E+12,-1201.928345,-106.901047,-169.404266,45.241699,9.396744,39.322128,60.674046,-2408.642578,1998.179688,-6713.868652,7407.449707,-0.07768,-0.008952,0.139764,0.987093,-8.966586,0.23151,16.099863,10.933304,-0.832737,-0.475456,-2348.1521,-187.189728,167.101837,93.047661, 
35,1.7643E+12,-1201.542969,-106.596642,-169.816574,33.272095,23.947105,-17.542419,44.589603,254.11377,620.885498,-3521.75,3585.079346,-0.083123,-0.010014,0.139431,0.986686,-9.603306,0.195863,16.070259,-29.708387,-2.540439,-1.105733,-4967.352051,-120.196671,-280.551819,93.047661, 
36,1.7643E+12,-1201.144531,-106.318596,-169.798004,35.271606,26.210289,-17.718201,47.381432,105.79834,-213.512421,3490.109375,3498.234375,-0.082995,-0.010042,0.139983,0.986618,-9.589098,0.196018,16.134186,-28.013063,-1.597129,1.544523,5272.510254,289.992554,757.598022,93.047661, 
37,1.7643E+12,-1201.06604,-106.118034,-169.859375,21.461792,21.537323,-1.926041,30.465956,-2591.564941,-627.62146,-647.520447,2743.975342,-0.085473,-0.011022,0.140879,0.986269,-9.886971,0.134159,16.246727,-12.764946,-2.776674,7.94107,-2527.849365,-502.31076,393.780304,93.047661, 
38,1.7643E+12,-1200.492798,-106.29425,-169.790115,29.328003,1.095543,0.354996,29.350605,4007.48291,-3051.898926,1058.106934,5147.192871,-0.083608,-0.01162,0.140092,0.986534,-9.684367,0.028558,16.161972,-4.287116,-7.535681,1.250402,4053.858887,-354.310455,-1598.100464,93.047661, 
39,1.7643E+12,-1200.030151,-106.096336,-169.555008,46.61499,0.97641,13.696518,48.595322,-895.825195,3030.455078,1343.366943,3433.772705,-0.084909,-0.011188,0.140957,0.986304,-9.82547,0.10703,16.257463,2.767575,-1.220835,0.483094,-2784.014648,1490.982788,1459.985107,93.047661, 
40,1.7643E+12,-1199.48584,-106.609833,-169.055069,45.31311,-14.201202,33.077087,57.870941,661.486816,-5762.425293,2145.135498,6184.231445,-0.080305,-0.012249,0.140694,0.986715,-9.318511,-0.090334,16.237331,16.463543,-5.350171,3.391169,5249.288574,-2234.263184,-936.531555,93.047661, 
